iter	timestamp	metric	delta	kept	description
0	2026-08-29T04:32:44Z	61.59	0.00	yes	baseline
1	2026-08-29T05:34:13Z	61.66	+0.07	yes	add tests for prometheus-registry setQwenKillSwitch + prometheus-metrics legacy wrapper
2	2026-08-29T05:43:21Z	61.78	+0.12	yes	add ab-test-stats z-test suite + ws-reconnect delay-math tests
3	2026-08-29T05:57:13Z	62.18	+0.40	yes	add tests for arb-handler, ws-reconnect-schedule, coupon-apply (3 zero-coverage files)
4	2026-08-29T06:15:00Z	62.43	+0.25	yes	add data-handlers test suite (handleBalance/Positions/Pnl/Results)
5	2026-08-29T06:25:00Z	62.68	+0.25	yes	add risk-managed-kelly-helpers suite (76 stmts 0%→100%, 30 tests)
8	2026-08-29T06:44:47Z	63.28	+0.18	yes	add OrderbookManager method tests (55 stmts 0%->100%, 11 tests)
9	2026-08-29T06:49:30Z	63.44	+0.16	yes	add alert-formatter suite (47 stmts 0%->100%, 30 tests)
10	2026-08-29T06:54:34Z	63.64	+0.20	yes	add spread-detector-pricing suite (46 stmts 0%->100%, 12 tests)
11	2026-08-29T07:01:57Z	63.80	+0.16	yes	add session-handlers suite (50 stmts 0%->100%, 14 tests)
12	2026-08-29T07:12:00Z	63.95	+0.15	yes	add funding-store mock suite (47 stmts 0%->100%, 11 tests)
13	2026-08-29T14:21:00Z	64.10	+0.15	yes	add alpha-report-handler suite (45 stmts 0%->100%, 4 tests)
14	2026-08-29T14:32:00Z	64.24	+0.14	yes	add redis-message-bus suite (44 stmts 0%->100%, 15 tests)
15	2026-08-29T14:52:00Z	64.39	+0.15	yes	add referral-analytics suite (43 stmts 015	2026-08-29T14:52:00Z	64.39	+0.15	yes	add referral-analytics suite (43 stmts 0%->100%, 9 tests)
16	2026-08-29T15:05:00Z	64.51	+0.12	yes	add referral-crud suite (39 stmts 0%->100%, 20 tests)
17	2026-08-29T15:20:00Z	64.65	+0.14	yes	add shard-manager-handlers suite (42 stmts 0%->100%, 15 tests)
18	2026-08-29T16:00:00Z	64.79	+0.14	yes	add negative-risk-entry suite (38 stmts 0%->100%, 11 tests)
19	2026-08-29T17:10:00Z	64.93	+0.14	yes	add negative-risk-exit suite (36 stmts 0%->100%, 8 tests)
20	2026-08-29T17:45:00Z	65.06	+0.13	yes	add usage-metering-tracking suite (36 stmts 0%->100%, 8 tests)
21	2026-08-29T18:15:00Z	65.16	+0.10	yes	add usage-metering-analytics suite (31 stmts 0%->100%, 7 tests)
22	2026-08-29T18:50:00Z	65.25	+0.09	yes	add ohlcv-store suite (30 stmts 0%->100%, 11 tests)
23	2026-08-29T19:10:00Z	65.35	+0.10	yes	add alpha-discover-handler suite (30 stmts 0%->100%, 8 tests)
24	2026-08-29T19:20:00Z	65.44	+0.09	yes	add alpha-robustness-handler suite (30 stmts 0%->100%, 5 tests)
25	2026-08-29T08:50:39Z	65.54	+0.10	yes	add alpha-ablation-handler suite (29 stmts 0%->100%, 6 tests)
26	2026-08-29T08:57:37Z	65.64	+0.10	yes	add coupon-validate suite (29 stmts 0%->100%, 10 tests)
27	2026-08-29T16:05:00Z	65.73	+0.09	yes	add signals-payment-handler suite (28 stmts 0%->100%, 9 tests)
28	2026-08-29T16:11:00Z	65.82	+0.09	yes	add trading-handlers suite (28 stmts 0%->100%, 8 tests)
29	2026-08-29T16:16:00Z	65.91	+0.09	yes	add live-trading-event-handler suite (26 stmts 0%->100%, 11 tests)
30	2026-08-29T16:19:00Z	65.98	+0.07	yes	add ws-latency-stats suite (22 stmts 0%->100%, 8 tests)
31	2026-08-29T16:23:00Z	66.04	+0.06	yes	add risk-handler suite (20 stmts 0%->100%, 13 tests)
32	2026-08-29T19:29:00Z	66.11	+0.07	yes	add alpha-walkforward-handler suite (18 stmts 0%->100%, 4 tests)
33	2026-08-29T19:41:36	66.15	+0.04	yes	add spread-detector-persistence suite (14 stmts 0%->100%, 7 tests)
34	2026-08-29T19:46:58	66.18	+0.03	yes	add ws-force-reconnect suite (10 stmts 0%->100%, 8 tests)
35	2026-08-29T19:51:52	66.22	+0.04	yes	add live-order-manager-terminal suite (14 stmts 0%->100%, 8 tests)
36	2026-08-29T20:03:29	66.25	+0.03	yes	add performance-handler suite (14 stmts 0%->100%, 8 tests)
37	2026-08-29T20:55:55	66.30	+0.03	yes	add regime-handler suite (14 stmts 0%->100%, 10 tests)
38	2026-08-29T14:28:49Z	66.35	+0.03	yes	add report-handler suite (23 stmts 0%->100%, 16 tests)
39	2026-08-29T14:28:49Z	66.39	+0.04	yes	add subscriber-activity-metrics suite (14 stmts 0%->100%, 7 tests)
40	2026-08-29T14:32:32Z	66.44	+0.05	yes	add funding-quality suite (13 stmts 0%->100%, 4 tests)
41	2026-08-29T14:32:32Z	66.44	+0.00	yes	add usage-metering-sync suite (13 stmts 0%->100%, 4 tests)
42	2026-08-29T14:41:18Z	66.44	+0.00	yes	add negative-risk-scanner facade suite (9 stmts 0%->100%, 7 tests)
46	2026-08-29T16:17:18Z	66.44	+0.00	yes	expand multi-indicator-confluence-strategy suite (113 stmts 0.9%->100%, 11 tests)
47	2026-08-29T16:21:57Z	66.44	+0.00	yes	expand rsi-mean-reversion-strategy suite (71 stmts 1.4%->100%, 13 tests)
48	2026-08-29T16:38:17Z	67.27	+0.19	yes	expand sma-crossover-strategy suite (61 stmts 1.6%->98.36%, 15 tests)
49	2026-08-29T16:50:50Z	67.44	+0.17	yes	expand risk-managed-kelly-strategy suite (65 stmts 1.5%->81.53%, 15 tests)
50	2026-08-29T16:58:19Z	67.61	+0.17	yes	add ab-test-manager suite (53 stmts 1.88%->~100%, 13 tests)
