strategy,sharpe_ratio,win_rate_pct,total_pnl_usd,profit_factor,max_drawdown_pct,total_trades,winning_trades,losing_trades,avg_win_usd,avg_loss_usd,best_trade_usd,worst_trade_usd,duration_ms,status
spread-mean-reversion,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,449,OK
bollinger-squeeze,19.5200,100.00,2.54,Infinity,0.00,7,7,0,0.36,0.37,0.35,117,OK
momentum-cascade,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,98,OK
vwap-deviation-sniper,-17.1200,0.00,-0.54,0.0000,0.01,7,0,7,-0.08,-0.07,-0.08,80,OK
whale-tracker,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,173,OK
orderbook-depth-ratio,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,101,OK
tail-risk-harvester,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,119,OK
volatility-targeting,8.1100,50.00,1.98,2.2000,0.02,8,4,4,0.25,0.95,-0.71,79,OK
mean-variance-optimizer,-13.4400,12.50,-1.79,0.2100,0.05,8,1,7,-0.22,0.47,-0.34,148,OK
cluster-breakout,0.0000,0.00,0.00,0.0000,0.00,0,0,0,0.00,0.00,0.00,96,OK
